Data,Descricao,Tipo,Valor
2026-05-18,Salário,Crédito,3200.00
2026-05-19,Restaurante,Débito,-220.00
2026-05-20,Investimento CDB,Débito,-1300.00
2026-05-21,Resgate CDB,Crédito,1350.00
2026-05-22,Compra roupas,Débito,-600.00
2026-05-23,Compra supermercado,Débito,-290.00
2026-05-24,Compra farmácia,Débito,-110.00
2026-05-25,Pagamento aluguel,Débito,-950.00
2026-05-26,Depósito cheque,Crédito,1850.00
2026-05-27,Compra eletrônicos,Débito,-1200.00
2026-05-28,Compra padaria,Débito,-48.00
2026-05-29,Transferência enviada,Débito,-560.00
2026-05-30,Salário,Crédito,3200.00
2026-05-31,Restaurante,Débito,-230.00
2026-06-01,Dividendos ações,Crédito,320.00
2026-06-02,Compra roupas,Débito,-650.00
2026-06-03,Compra supermercado,Débito,-300.00
2026-06-04,Compra farmácia,Débito,-115.00
2026-06-05,Pagamento aluguel,Débito,-950.00
2026-06-06,Depósito cheque,Crédito,1900.00
2026-06-07,Compra eletrônicos,Débito,-1250.00
2026-06-08,Compra padaria,Débito,-50.00
2026-06-09,Transferência enviada,Débito,-580.00
2026-06-10,Salário,Crédito,3200.00
2026-06-11,Restaurante,Débito,-240.00
2026-06-12,Investimento Tesouro Direto,Débito,-2600.00
2026-06-13,Resgate Tesouro Direto,Crédito,2700.00
2026-06-14,Compra roupas,Débito,-700.00
2026-06-15,Compra supermercado,Débito,-310.00
2026-06-16,Compra farmácia,Débito,-120.00
2026-06-17,Pagamento aluguel,Débito,-950.00
2026-06-18,Depósito cheque,Crédito,1950.00
2026-06-19,Compra eletrônicos,Débito,-1300.00
2026-06-20,Compra padaria,Débito,-52.00
2026-06-21,Transferência enviada,Débito,-600.00
2026-06-22,Salário,Crédito,3200.00
2026-06-23,Restaurante,Débito,-250.00
2026-06-24,Dividendos ações,Crédito,350.00
2026-06-25,Compra roupas,Débito,-750.00
2026-06-26,Compra supermercado,Débito,-320.00
2026-06-27,Compra farmácia,Débito,-125.00
2026-06-28,Pagamento aluguel,Débito,-950.00
2026-06-29,Depósito cheque,Crédito,2000.00
2026-06-30,Compra eletrônicos,Débito,-1350.00
2026-07-01,Compra padaria,Débito,-55.00
2026-07-02,Transferência enviada,Débito,-620.00
2026-07-03,Salário,Crédito,3200.00
2026-07-04,Restaurante,Débito,-260.00
2026-07-05,Investimento CDB,Débito,-1400.00
2026-07-06,Resgate CDB,Crédito,1450.00
2026-07-07,Compra roupas,Débito,-800.00
2026-07-08,Compra supermercado,Débito,-330.00
2026-07-09,Compra farmácia,Débito,-130.00
2026-07-10,Pagamento aluguel,Débito,-950.00
2026-07-11,Depósito cheque,Crédito,2050.00
2026-07-12,Compra eletrônicos,Débito,-1400.00
2026-07-13,Compra padaria,Débito,-58.00
2026-07-14,Transferência enviada,Débito,-640.00
2026-07-15,Salário,Crédito,3200.00
2026-07-16,Restaurante,Débito,-270.00
2026-07-17,Dividendos ações,Crédito,380.00
2026-07-18,Compra roupas,Débito,-850.00
2026-07-19,Compra supermercado,Débito,-340.00
2026-07-20,Compra farmácia,Débito,-135.00
2026-07-21,Pagamento aluguel,Débito,-950.00
2026-07-22,Depósito cheque,Crédito,2100.00
2026-07-23,Compra eletrônicos,Débito,-1450.00
2026-07-24,Compra padaria,Débito,-60.00
2026-07-25,Transferência enviada,Débito,-660.00
2026-07-26,Salário,Crédito,3200.00
2026-07-27,Restaurante,Débito,-280.00
2026-07-28,Investimento Tesouro Direto,Débito,-2700.00
2026-07-29,Resgate Tesouro Direto,Crédito,2800.00
2026-07-30,Compra roupas,Débito,-900.00
2026-07-31,Compra supermercado,Débito,-350.00
